row_id,y_true,score_logistic_regression,score_hist_gradient_boosting,error_taxonomy,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,PAY_AMT1,PAY_AMT2,PAY_AMT3,review_note
26880,0,0.8861384305769009,0.7712912617563282,high_score_non_default_false_alarm,50000,1,1,2,39,3,3,2,2,2,-2,65766,59702,55899,0,2100,0,"Manual error review sample. High-score non-defaults may indicate conservative risk scoring; low-score defaults may indicate missed risk. These are diagnostic cases, not causal explanations."
18658,0,0.8345838012879361,0.7696414274953468,high_score_non_default_false_alarm,40000,2,2,1,28,2,2,3,2,2,2,31131,33815,33002,3500,0,0,"Manual error review sample. High-score non-defaults may indicate conservative risk scoring; low-score defaults may indicate missed risk. These are diagnostic cases, not causal explanations."
22566,0,0.7947200428226777,0.7682457026096535,high_score_non_default_false_alarm,120000,1,2,2,30,2,2,2,2,2,2,69443,70896,72381,3200,3200,0,"Manual error review sample. High-score non-defaults may indicate conservative risk scoring; low-score defaults may indicate missed risk. These are diagnostic cases, not causal explanations."
17004,0,0.8044166740032379,0.7677809607489879,high_score_non_default_false_alarm,50000,2,2,2,22,2,2,2,3,2,2,19091,18487,22219,0,4042,0,"Manual error review sample. High-score non-defaults may indicate conservative risk scoring; low-score defaults may indicate missed risk. These are diagnostic cases, not causal explanations."
10666,0,0.7648451192406722,0.7669763811656171,high_score_non_default_false_alarm,100000,2,2,1,29,2,2,0,0,2,2,75242,73482,76628,0,5000,7000,"Manual error review sample. High-score non-defaults may indicate conservative risk scoring; low-score defaults may indicate missed risk. These are diagnostic cases, not causal explanations."
11098,0,0.7378848952568287,0.7646727567573077,high_score_non_default_false_alarm,170000,1,1,2,27,2,0,0,0,2,2,46899,45809,44572,2732,2578,2300,"Manual error review sample. High-score non-defaults may indicate conservative risk scoring; low-score defaults may indicate missed risk. These are diagnostic cases, not causal explanations."
13696,0,0.826670784909353,0.7639960876910883,high_score_non_default_false_alarm,30000,2,2,2,49,2,2,2,2,2,2,28859,28116,30226,0,2900,0,"Manual error review sample. High-score non-defaults may indicate conservative risk scoring; low-score defaults may indicate missed risk. These are diagnostic cases, not causal explanations."
9233,0,0.7417041482173856,0.7634358461486116,high_score_non_default_false_alarm,140000,1,3,2,30,2,2,2,2,2,0,145627,145339,136223,6005,210,7903,"Manual error review sample. High-score non-defaults may indicate conservative risk scoring; low-score defaults may indicate missed risk. These are diagnostic cases, not causal explanations."
21220,0,0.8293147332453373,0.7607891266002875,high_score_non_default_false_alarm,200000,1,2,1,41,2,2,2,2,2,2,1075,11201,1383,11000,980,0,"Manual error review sample. High-score non-defaults may indicate conservative risk scoring; low-score defaults may indicate missed risk. These are diagnostic cases, not causal explanations."
12819,0,0.7967306118648306,0.760778143830181,high_score_non_default_false_alarm,50000,2,2,3,47,2,2,2,2,2,0,37277,38383,38954,2000,1500,1600,"Manual error review sample. High-score non-defaults may indicate conservative risk scoring; low-score defaults may indicate missed risk. These are diagnostic cases, not causal explanations."
399,0,0.7561441275286401,0.7585555227524367,high_score_non_default_false_alarm,120000,2,2,2,25,2,2,2,2,2,2,120298,120822,109887,4007,0,8272,"Manual error review sample. High-score non-defaults may indicate conservative risk scoring; low-score defaults may indicate missed risk. These are diagnostic cases, not causal explanations."
1706,0,0.7856817490041712,0.7582707828932227,high_score_non_default_false_alarm,230000,1,1,2,35,2,2,2,2,2,2,117277,119823,120988,5800,4500,3800,"Manual error review sample. High-score non-defaults may indicate conservative risk scoring; low-score defaults may indicate missed risk. These are diagnostic cases, not causal explanations."
14805,0,0.8217034205669601,0.7581817796619359,high_score_non_default_false_alarm,20000,1,2,2,24,2,2,2,2,2,2,16276,16715,18327,1000,2200,0,"Manual error review sample. High-score non-defaults may indicate conservative risk scoring; low-score defaults may indicate missed risk. These are diagnostic cases, not causal explanations."
14340,0,0.8080734304338143,0.7570967290287293,high_score_non_default_false_alarm,30000,2,2,2,28,2,2,2,2,2,2,20218,19607,21778,0,2500,1000,"Manual error review sample. High-score non-defaults may indicate conservative risk scoring; low-score defaults may indicate missed risk. These are diagnostic cases, not causal explanations."
17842,0,0.8244308929114965,0.7564487581675986,high_score_non_default_false_alarm,20000,1,2,2,24,2,2,2,2,2,2,16239,16276,16715,600,1000,2200,"Manual error review sample. High-score non-defaults may indicate conservative risk scoring; low-score defaults may indicate missed risk. These are diagnostic cases, not causal explanations."
16276,1,0.3610881284848767,0.0309124441667785,low_score_default_missed_risk,300000,2,1,2,31,0,0,0,-1,-1,0,34515,60700,33843,30000,5000,5045,"Manual error review sample. High-score non-defaults may indicate conservative risk scoring; low-score defaults may indicate missed risk. These are diagnostic cases, not causal explanations."
982,1,0.059849694407943,0.03617022817962,low_score_default_missed_risk,500000,1,1,2,36,-2,-2,-2,-2,-2,-2,45106,81264,18122,81690,18225,27365,"Manual error review sample. High-score non-defaults may indicate conservative risk scoring; low-score defaults may indicate missed risk. These are diagnostic cases, not causal explanations."
28993,1,0.0277604174623566,0.0367524935197224,low_score_default_missed_risk,480000,2,1,1,39,0,0,0,-1,0,0,98569,106660,400000,10620,302000,66270,"Manual error review sample. High-score non-defaults may indicate conservative risk scoring; low-score defaults may indicate missed risk. These are diagnostic cases, not causal explanations."
22893,1,0.3532556849712523,0.0390301386610604,low_score_default_missed_risk,500000,2,1,2,27,0,-1,0,0,0,0,8328,24491,26085,25450,2000,2000,"Manual error review sample. High-score non-defaults may indicate conservative risk scoring; low-score defaults may indicate missed risk. These are diagnostic cases, not causal explanations."
10670,1,0.4131431063690426,0.039452733255689,low_score_default_missed_risk,410000,1,2,2,48,0,0,0,-1,-1,0,28921,13482,8484,5422,3040,15362,"Manual error review sample. High-score non-defaults may indicate conservative risk scoring; low-score defaults may indicate missed risk. These are diagnostic cases, not causal explanations."
970,1,0.3542915680965238,0.0410455991471238,low_score_default_missed_risk,300000,1,1,1,42,-1,0,0,-1,0,0,11973,61834,25145,20979,5000,37676,"Manual error review sample. High-score non-defaults may indicate conservative risk scoring; low-score defaults may indicate missed risk. These are diagnostic cases, not causal explanations."
8958,1,0.356969712307176,0.04157704211357,low_score_default_missed_risk,340000,1,1,2,44,0,0,0,0,0,0,83059,85634,73950,20000,5000,2000,"Manual error review sample. High-score non-defaults may indicate conservative risk scoring; low-score defaults may indicate missed risk. These are diagnostic cases, not causal explanations."
3791,1,0.3444687486577131,0.0437345968957314,low_score_default_missed_risk,120000,1,1,2,28,-1,0,0,0,0,0,8922,43070,47023,35000,5000,8000,"Manual error review sample. High-score non-defaults may indicate conservative risk scoring; low-score defaults may indicate missed risk. These are diagnostic cases, not causal explanations."
20362,1,0.4636620692627267,0.0447675911259935,low_score_default_missed_risk,100000,1,1,1,37,0,0,0,0,0,0,99516,87274,96414,10184,20000,5150,"Manual error review sample. High-score non-defaults may indicate conservative risk scoring; low-score defaults may indicate missed risk. These are diagnostic cases, not causal explanations."
6853,1,0.1944702320973551,0.045101495517889,low_score_default_missed_risk,290000,1,3,2,34,0,0,0,0,0,0,5451,6230,140802,1200,135000,5200,"Manual error review sample. High-score non-defaults may indicate conservative risk scoring; low-score defaults may indicate missed risk. These are diagnostic cases, not causal explanations."
18898,1,0.2724062693738782,0.0461455791976378,low_score_default_missed_risk,140000,2,5,2,28,0,0,-1,0,0,0,108018,6500,6327,1000,6327,135000,"Manual error review sample. High-score non-defaults may indicate conservative risk scoring; low-score defaults may indicate missed risk. These are diagnostic cases, not causal explanations."
12615,1,0.0686125800298397,0.0472230416827128,low_score_default_missed_risk,200000,2,1,1,34,-2,-2,-2,-2,-1,0,12322,25851,35691,13871,74000,882,"Manual error review sample. High-score non-defaults may indicate conservative risk scoring; low-score defaults may indicate missed risk. These are diagnostic cases, not causal explanations."
18939,1,0.3534301040723205,0.0474440589689963,low_score_default_missed_risk,390000,2,3,1,28,0,0,0,0,0,0,129002,130535,129888,5000,5500,6000,"Manual error review sample. High-score non-defaults may indicate conservative risk scoring; low-score defaults may indicate missed risk. These are diagnostic cases, not causal explanations."
16195,1,0.115057932450647,0.049367129617018,low_score_default_missed_risk,400000,2,3,2,35,-2,-2,-2,-2,-2,-2,1432,8125,7017,8132,7018,10542,"Manual error review sample. High-score non-defaults may indicate conservative risk scoring; low-score defaults may indicate missed risk. These are diagnostic cases, not causal explanations."
11089,1,0.4681387561195228,0.049391942676207,low_score_default_missed_risk,240000,1,2,1,41,0,0,0,0,0,0,22165,21292,16469,7002,3002,5002,"Manual error review sample. High-score non-defaults may indicate conservative risk scoring; low-score defaults may indicate missed risk. These are diagnostic cases, not causal explanations."
11568,1,0.0290576798208023,0.0525881004991587,low_score_default_missed_risk,430000,1,2,1,46,0,0,-1,0,0,0,52930,960,354716,510,358689,15066,"Manual error review sample. High-score non-defaults may indicate conservative risk scoring; low-score defaults may indicate missed risk. These are diagnostic cases, not causal explanations."
15548,1,0.1433364658783339,0.0527333358591128,low_score_default_missed_risk,450000,1,2,2,36,-2,-2,-2,-2,-2,-2,8012,4009,5226,4021,5241,4729,"Manual error review sample. High-score non-defaults may indicate conservative risk scoring; low-score defaults may indicate missed risk. These are diagnostic cases, not causal explanations."
8541,1,0.3136401637874284,0.0536960958635912,low_score_default_missed_risk,490000,1,1,1,50,-1,-1,-1,-1,-1,-1,17884,6836,4657,6836,4657,3398,"Manual error review sample. High-score non-defaults may indicate conservative risk scoring; low-score defaults may indicate missed risk. These are diagnostic cases, not causal explanations."
11381,1,0.2768738863909283,0.0542881058693274,low_score_default_missed_risk,360000,2,2,1,46,-1,-1,-1,-1,-1,-1,6402,13301,3762,13389,3785,7527,"Manual error review sample. High-score non-defaults may indicate conservative risk scoring; low-score defaults may indicate missed risk. These are diagnostic cases, not causal explanations."
10732,1,0.2769778948940031,0.0554581533341499,low_score_default_missed_risk,260000,2,5,2,32,0,0,0,0,0,0,169734,168207,155963,6568,6025,5703,"Manual error review sample. High-score non-defaults may indicate conservative risk scoring; low-score defaults may indicate missed risk. These are diagnostic cases, not causal explanations."
7777,1,0.4465647787691671,0.0569796267208563,low_score_default_missed_risk,280000,1,2,1,34,0,0,0,0,0,0,126305,128888,123909,4728,4700,4210,"Manual error review sample. High-score non-defaults may indicate conservative risk scoring; low-score defaults may indicate missed risk. These are diagnostic cases, not causal explanations."
25067,1,0.3095755607136319,0.0570568948059462,low_score_default_missed_risk,450000,1,1,1,61,-1,0,0,0,0,0,156875,154853,152936,11000,11000,11000,"Manual error review sample. High-score non-defaults may indicate conservative risk scoring; low-score defaults may indicate missed risk. These are diagnostic cases, not causal explanations."
12667,1,0.4513170933750419,0.0583123072488385,low_score_default_missed_risk,210000,2,1,1,37,0,0,-1,-1,-1,-1,24547,48302,4549,4519,9098,3085,"Manual error review sample. High-score non-defaults may indicate conservative risk scoring; low-score defaults may indicate missed risk. These are diagnostic cases, not causal explanations."
27425,1,0.3685965726119117,0.0586427437733534,low_score_default_missed_risk,350000,1,2,1,36,0,0,-1,0,-1,-1,32596,16666,32597,1000,32597,1000,"Manual error review sample. High-score non-defaults may indicate conservative risk scoring; low-score defaults may indicate missed risk. These are diagnostic cases, not causal explanations."
7016,1,0.464047383857918,0.0593558140032909,low_score_default_missed_risk,230000,1,2,2,31,0,0,0,0,0,0,14529,16597,18968,5500,3000,4000,"Manual error review sample. High-score non-defaults may indicate conservative risk scoring; low-score defaults may indicate missed risk. These are diagnostic cases, not causal explanations."
