date,chain,tvl
2021-03-07,BSC,2186218055
2021-03-08,BSC,2048710308
2021-03-09,BSC,2084559584
2021-03-10,BSC,2264455456
2021-03-11,BSC,2649942074
2021-03-12,BSC,3039258524
2021-03-13,BSC,2930154767
2021-03-14,BSC,3021841576
2021-03-15,BSC,3196401079
2021-03-16,BSC,2875910606
2021-03-17,BSC,2816622879
2021-03-18,BSC,2791399826
2021-03-19,BSC,2867857579
2021-03-20,BSC,2948303433
2021-03-21,BSC,3147364010
2021-03-22,BSC,3037424642
2021-03-23,BSC,3346562958
2021-03-24,BSC,3935806346
2021-03-25,BSC,3729892977
2021-03-26,BSC,4040196048
2021-03-27,BSC,4271286403
2021-03-28,BSC,5010176334
2021-03-29,BSC,5070255779
2021-03-30,BSC,5266434608
2021-03-31,BSC,5468648075
2021-04-01,BSC,5592316428
2021-04-02,BSC,6355017752
2021-04-03,BSC,6878966450
2021-04-04,BSC,7177783789
2021-04-05,BSC,6760801325
2021-04-06,BSC,6929169508
2021-04-07,BSC,6878304244
2021-04-08,BSC,6942982866
2021-04-09,BSC,7606094383
2021-04-10,BSC,8966554378
2021-04-11,BSC,9263467924
2021-04-12,BSC,9232019098
2021-04-13,BSC,9851912918
2021-04-14,BSC,10710262230
2021-04-15,BSC,11930941606
2021-04-16,BSC,11890525566
2021-04-17,BSC,11630402118
2021-04-18,BSC,12037209877
2021-04-19,BSC,10726979838
2021-04-20,BSC,11479765719
2021-04-21,BSC,11381719028
2021-04-22,BSC,11194205671
2021-04-23,BSC,11505803377
2021-04-24,BSC,14244531596
2021-04-25,BSC,14806651470
2021-04-26,BSC,15912320208
2021-04-27,BSC,17347364943
2021-04-28,BSC,17742192201
2021-04-29,BSC,18069325744
2021-04-30,BSC,18504519897
2021-05-01,BSC,18789033919
2021-05-02,BSC,20198074812
2021-05-03,BSC,20512703811
2021-05-04,BSC,20479277376
2021-05-05,BSC,21783483709
2021-05-06,BSC,21502464597
2021-05-07,BSC,21690522825
2021-05-08,BSC,21160250076
2021-05-09,BSC,21386057171
2021-05-10,BSC,20906840957
2021-05-11,BSC,20820633077
2021-05-12,BSC,19901516503
2021-05-13,BSC,19841177616
2021-05-14,BSC,19630542342
2021-05-15,BSC,19412490064
2021-05-16,BSC,18800166128
2021-05-17,BSC,18371065265
2021-05-18,BSC,17280825804
2021-05-19,BSC,12331484326
2021-05-20,BSC,11121544167
2021-05-21,BSC,10144124046
2021-05-22,BSC,9776332846
2021-05-23,BSC,8957548086
2021-05-24,BSC,9159086056
2021-05-25,BSC,9610234519
2021-05-26,BSC,9891517468
2021-05-27,BSC,9737117344
2021-05-28,BSC,9373217026
2021-05-29,BSC,9048097183
2021-05-30,BSC,9016425812
2021-05-31,BSC,9668894327
2021-06-01,BSC,10046943581
2021-06-02,BSC,10169120938
2021-06-03,BSC,10853415791
2021-06-04,BSC,11268129870
2021-06-05,BSC,11018248854
2021-06-06,BSC,11018750672
2021-06-07,BSC,10898523047
2021-06-08,BSC,10735466132
2021-06-09,BSC,10819122543
2021-06-10,BSC,10859740985
2021-06-11,BSC,10831971846
2021-06-12,BSC,10747645015
2021-06-13,BSC,11286925724
2021-06-14,BSC,11471224955
2021-06-15,BSC,11554039546
2021-06-16,BSC,11224211454
2021-06-17,BSC,11347871706
2021-06-18,BSC,11300369795
2021-06-19,BSC,10976837864
2021-06-20,BSC,11012324698
2021-06-21,BSC,10206277831
2021-06-22,BSC,9571068343
2021-06-23,BSC,9804285467
2021-06-24,BSC,10355256887
2021-06-25,BSC,10077671788
2021-06-26,BSC,9865357046
2021-06-27,BSC,10186468898
2021-06-28,BSC,10504403732
2021-06-29,BSC,10697621781
2021-06-30,BSC,10796751784
2021-07-01,BSC,10465977908
2021-07-02,BSC,10625231302
2021-07-03,BSC,10594937995
2021-07-04,BSC,10979869411
2021-07-05,BSC,10841229448
2021-07-06,BSC,11314730526
2021-07-07,BSC,11545030298
2021-07-08,BSC,11346765449
2021-07-09,BSC,11554737192
2021-07-10,BSC,11679052531
2021-07-11,BSC,11663028739
2021-07-12,BSC,12026126696
2021-07-13,BSC,11655153597
2021-07-14,BSC,11474854491
2021-07-15,BSC,10652782122
2021-07-16,BSC,10275562981
2021-07-17,BSC,9963489853
2021-07-18,BSC,10272426493
2021-07-19,BSC,10015779810
2021-07-20,BSC,9705241554
2021-07-21,BSC,9839837597
2021-07-22,BSC,10248505009
2021-07-23,BSC,10693849130
2021-07-24,BSC,11017848210
2021-07-25,BSC,11378507546
2021-07-26,BSC,11604817429
2021-07-27,BSC,11888144352
2021-07-28,BSC,12015994071
2021-07-29,BSC,12024014716
2021-07-30,BSC,12024939044
2021-07-31,BSC,11974873449
2021-08-01,BSC,11862063078
2021-08-02,BSC,11759515880
2021-08-03,BSC,11096557484
2021-08-04,BSC,11980410004
2021-08-05,BSC,12255696366
2021-08-06,BSC,12273802032
2021-08-07,BSC,12771969882
2021-08-08,BSC,12844846910
2021-08-09,BSC,12817999444
2021-08-10,BSC,13324150208
2021-08-11,BSC,13173120212
2021-08-12,BSC,13243667503
2021-08-13,BSC,13501111181
2021-08-14,BSC,13805085507
2021-08-15,BSC,13930223732
2021-08-16,BSC,14015526842
2021-08-17,BSC,13720363122
2021-08-18,BSC,13623156787
2021-08-19,BSC,14065048561
2021-08-20,BSC,14796850848
2021-08-21,BSC,14987575596
2021-08-22,BSC,14910708076
2021-08-23,BSC,15427484612
2021-08-24,BSC,14880102309
2021-08-25,BSC,15229192771
2021-08-26,BSC,15144755019
2021-08-27,BSC,15189829743
2021-08-28,BSC,15135213048
2021-08-29,BSC,15105732377
2021-08-30,BSC,14790359987
2021-08-31,BSC,14535840912
2021-09-01,BSC,14882870034
2021-09-02,BSC,15122078676
2021-09-03,BSC,15192619706
2021-09-04,BSC,15369472261
2021-09-05,BSC,15470817495
2021-09-06,BSC,15378899783
2021-09-07,BSC,14128478187
2021-09-08,BSC,13602036524
2021-09-09,BSC,13759791193
2021-09-10,BSC,13301490647
2021-09-11,BSC,13020868344
2021-09-12,BSC,13367909890
2021-09-13,BSC,13223294307
2021-09-14,BSC,13435466251
2021-09-15,BSC,13849249814
2021-09-16,BSC,13909963418
2021-09-17,BSC,13597449300
2021-09-18,BSC,13674574487
2021-09-19,BSC,13834955994
2021-09-20,BSC,12534703513
2021-09-21,BSC,11692735984
2021-09-22,BSC,12177451316
2021-09-23,BSC,12508852637
2021-09-24,BSC,12195316917
2021-09-25,BSC,12121497711
2021-09-26,BSC,12079676108
2021-09-27,BSC,12141002908
2021-09-28,BSC,12070905034
2021-09-29,BSC,11586693575
2021-09-30,BSC,11711812779
2021-10-01,BSC,12272950718
2021-10-02,BSC,12518674025
2021-10-03,BSC,12577138781
2021-10-04,BSC,12696866670
2021-10-05,BSC,12838129436
2021-10-06,BSC,12910253252
2021-10-07,BSC,12969223140
2021-10-08,BSC,13292880115
2021-10-09,BSC,13429307350
2021-10-10,BSC,13335141635
2021-10-11,BSC,13272319965
2021-10-12,BSC,13615910161
2021-10-13,BSC,13551451802
2021-10-14,BSC,13734683773
2021-10-15,BSC,13787648406
2021-10-16,BSC,13830154464
2021-10-17,BSC,13801277720
2021-10-18,BSC,13846315129
2021-10-19,BSC,13958037146
2021-10-20,BSC,14262181095
2021-10-21,BSC,14918673197
2021-10-22,BSC,15008496076
2021-10-23,BSC,15111332157
2021-10-24,BSC,15166386203
2021-10-25,BSC,15064225645
2021-10-26,BSC,15245013124
2021-10-27,BSC,14509808879
2021-10-28,BSC,14398473714
2021-10-29,BSC,14779762009
2021-10-30,BSC,14635478368
2021-10-31,BSC,14494876248
2021-11-01,BSC,14484241493
2021-11-02,BSC,14888949544
2021-11-03,BSC,15141145045
2021-11-04,BSC,15136479452
2021-11-05,BSC,15373534678
2021-11-06,BSC,15262177643
2021-11-07,BSC,15606257153
2021-11-08,BSC,15934360056
2021-11-09,BSC,15700630629
2021-11-10,BSC,15604306844
2021-11-11,BSC,15434097156
2021-11-12,BSC,15559328863
2021-11-13,BSC,15637605459
2021-11-14,BSC,15881460224
2021-11-15,BSC,15869368878
2021-11-16,BSC,15240068876
2021-11-17,BSC,15019804741
2021-11-18,BSC,14669811788
2021-11-19,BSC,14073388132
2021-11-20,BSC,14718005838
2021-11-21,BSC,14664843494
2021-11-22,BSC,14268211299
2021-11-23,BSC,14335799692
2021-11-24,BSC,14498359125
2021-11-25,BSC,14726427151
2021-11-26,BSC,14423612003
2021-11-27,BSC,13906953386
2021-11-28,BSC,14057466038
2021-11-29,BSC,14422048053
2021-11-30,BSC,14559544829
2021-12-01,BSC,14577564860
2021-12-02,BSC,14666294669
2021-12-03,BSC,14277571870
2021-12-04,BSC,13524872921
2021-12-05,BSC,13017813488
2021-12-06,BSC,12880404394
2021-12-07,BSC,13045572948
2021-12-08,BSC,13349496028
2021-12-09,BSC,13085312062
2021-12-10,BSC,12716184843
2021-12-11,BSC,12615446371
2021-12-12,BSC,12858420345
2021-12-13,BSC,12620077717
2021-12-14,BSC,12486051459
2021-12-15,BSC,13144008275
2021-12-16,BSC,13201635473
2021-12-17,BSC,13079288378
2021-12-18,BSC,13049087502
2021-12-19,BSC,13172134279
2021-12-20,BSC,13107812855
2021-12-21,BSC,13201461199
2021-12-22,BSC,13284522417
2021-12-23,BSC,13381199415
2021-12-24,BSC,13532753327
2021-12-25,BSC,13501618894
2021-12-26,BSC,13483854105
2021-12-27,BSC,13557185549
2021-12-28,BSC,13406903586
2021-12-29,BSC,13010414934
2021-12-30,BSC,12809470318
2021-12-31,BSC,12794059092
2022-01-01,BSC,12883540307
2022-01-02,BSC,13011474440
2022-01-03,BSC,12909784015
2022-01-04,BSC,12765005155
2022-01-05,BSC,12511462912
2022-01-06,BSC,12188169721
2022-01-07,BSC,11849375671
2022-01-08,BSC,11549907912
2022-01-09,BSC,11569628332
2022-01-10,BSC,11469340454
2022-01-11,BSC,11577278399
2022-01-12,BSC,11534804035
2022-01-13,BSC,11479596631
2022-01-14,BSC,11501746164
2022-01-15,BSC,11552169211
2022-01-16,BSC,11581179579
2022-01-17,BSC,11419543921
2022-01-18,BSC,11265271947
2022-01-19,BSC,11119087705
2022-01-20,BSC,10957022258
2022-01-21,BSC,10435540681
2022-01-22,BSC,9746002854
2022-01-23,BSC,9496179637
2022-01-24,BSC,9512258360
2022-01-25,BSC,9572970223
2022-01-26,BSC,9574587619
2022-01-27,BSC,9677101998
2022-01-28,BSC,9627568036
2022-01-29,BSC,9651826020
2022-01-30,BSC,9496210105
2022-01-31,BSC,9401403765
2022-02-01,BSC,9534769417
2022-02-02,BSC,9532500409
2022-02-03,BSC,9500067945
2022-02-04,BSC,9795686835
2022-02-05,BSC,10138429609
2022-02-06,BSC,10303077912
2022-02-07,BSC,10477221572
2022-02-08,BSC,10489930370
2022-02-09,BSC,10501919312
2022-02-10,BSC,10505563176
2022-02-11,BSC,10210484495
2022-02-12,BSC,10108654481
2022-02-13,BSC,10102895729
2022-02-14,BSC,10131805512
2022-02-15,BSC,10297959232
2022-02-16,BSC,10275426200
2022-02-17,BSC,10013614735
2022-02-18,BSC,9792681495
2022-02-19,BSC,9722898415
2022-02-20,BSC,9551603252
2022-02-21,BSC,9380868276
2022-02-22,BSC,9335275539
2022-02-23,BSC,9366283838
2022-02-24,BSC,9265289028
2022-02-25,BSC,9303927149
2022-02-26,BSC,9376792137
2022-02-27,BSC,9430080454
2022-02-28,BSC,9581442350
2022-03-01,BSC,9915663859
2022-03-02,BSC,9680417985
2022-03-03,BSC,9683748786
2022-03-04,BSC,9364554949
2022-03-05,BSC,9322332063
2022-03-06,BSC,9325027302
2022-03-07,BSC,9249362186
2022-03-08,BSC,9223620215
2022-03-09,BSC,9589359346
2022-03-10,BSC,9652708399
2022-03-11,BSC,9469399004
2022-03-12,BSC,9514088545
2022-03-13,BSC,9427374457
2022-03-14,BSC,9420603496
2022-03-15,BSC,9481765479
2022-03-16,BSC,9590007572
2022-03-17,BSC,9785677374
2022-03-18,BSC,9819653954
2022-03-19,BSC,9950237903
2022-03-20,BSC,9852846571
2022-03-21,BSC,9779546210
2022-03-22,BSC,10244655473
2022-03-23,BSC,10416940835
2022-03-24,BSC,10627551710
2022-03-25,BSC,10728224098
2022-03-26,BSC,10902075042
2022-03-27,BSC,11202480074
2022-03-28,BSC,11260793533
2022-03-29,BSC,11395392871
2022-03-30,BSC,11362366244
2022-03-31,BSC,11350336963
2022-04-01,BSC,11492193946
2022-04-02,BSC,11707159615
2022-04-03,BSC,11800576235
2022-04-04,BSC,11835520798
2022-04-05,BSC,11824498296
2022-04-06,BSC,11495952085
2022-04-07,BSC,11455313690
2022-04-08,BSC,11637550765
2022-04-09,BSC,11570636413
2022-04-10,BSC,11521149858
2022-04-11,BSC,11212566172
2022-04-12,BSC,10984183224
2022-04-13,BSC,11181257263
2022-04-14,BSC,11163826722
2022-04-15,BSC,11111968775
2022-04-16,BSC,11221650002
2022-04-17,BSC,11194722178
2022-04-18,BSC,11143997294
2022-04-19,BSC,11269569948
2022-04-20,BSC,11406815220
2022-04-21,BSC,11129410548
2022-04-22,BSC,11128998752
2022-04-23,BSC,11098117033
2022-04-24,BSC,11062524007
2022-04-25,BSC,11399265934
2022-04-26,BSC,11327870963
2022-04-27,BSC,11166021562
2022-04-28,BSC,11264920850
2022-04-29,BSC,10686471149
2022-04-30,BSC,10411464730
2022-05-01,BSC,10373105678
2022-05-02,BSC,10514500008
2022-05-03,BSC,10477089040
2022-05-04,BSC,10619073249
2022-05-05,BSC,10528644827
2022-05-06,BSC,10433724379
2022-05-07,BSC,10415277929
2022-05-08,BSC,10195881870
2022-05-09,BSC,9520524483
2022-05-10,BSC,9177321871
2022-05-11,BSC,8825404387
2022-05-12,BSC,8111751120
2022-05-13,BSC,7356505227
2022-05-14,BSC,7645091731
2022-05-15,BSC,7414972494
2022-05-16,BSC,7695317087
2022-05-17,BSC,7533151615
2022-05-18,BSC,7694603736
2022-05-19,BSC,7420171008
2022-05-20,BSC,7703713931
2022-05-21,BSC,7704409118
2022-05-22,BSC,7856047385
2022-05-23,BSC,7957672727
2022-05-24,BSC,7921639377
2022-05-25,BSC,8048342645
2022-05-26,BSC,8055401595
2022-05-27,BSC,7690240748
2022-05-28,BSC,7619300308
2022-05-29,BSC,7657373941
2022-05-30,BSC,7553857449
2022-05-31,BSC,7827642974
2022-06-01,BSC,7814951391
2022-06-02,BSC,7418176766
2022-06-03,BSC,7492887387
2022-06-04,BSC,7354745697
2022-06-05,BSC,7317406597
2022-06-06,BSC,7297290988
2022-06-07,BSC,7220706983
2022-06-08,BSC,7241993987
2022-06-09,BSC,7166501405
2022-06-10,BSC,6941498530
2022-06-11,BSC,6883106263
2022-06-12,BSC,6773969704
2022-06-13,BSC,6660353308
2022-06-14,BSC,5599733352
2022-06-15,BSC,5623913731
2022-06-16,BSC,5568787800
2022-06-17,BSC,5285670487
2022-06-18,BSC,5353748734
2022-06-19,BSC,5065894980
2022-06-20,BSC,5197779858
2022-06-21,BSC,5283698318
2022-06-22,BSC,5260661508
2022-06-23,BSC,5217106339
2022-06-24,BSC,5283005879
2022-06-25,BSC,5334510576
2022-06-26,BSC,5348803495
2022-06-27,BSC,5313443006
2022-06-28,BSC,5317419504
2022-06-29,BSC,5312976183
2022-06-30,BSC,5326462263
2022-07-01,BSC,5304065459
2022-07-02,BSC,5333851066
2022-07-03,BSC,5319441496
2022-07-04,BSC,5487443224
2022-07-05,BSC,5521748343
2022-07-06,BSC,5531180729
2022-07-07,BSC,5701471288
2022-07-08,BSC,5603873035
2022-07-09,BSC,5569575724
2022-07-10,BSC,5658740972
2022-07-11,BSC,5540658598
2022-07-12,BSC,5346093036
2022-07-13,BSC,5255919624
2022-07-14,BSC,5385008172
2022-07-15,BSC,5502020939
2022-07-16,BSC,5502296357
2022-07-17,BSC,5618836505
2022-07-18,BSC,5614551131
2022-07-19,BSC,5835005631
2022-07-20,BSC,5899427211
2022-07-21,BSC,5811153869
2022-07-22,BSC,5912713383
2022-07-23,BSC,5872353804
2022-07-24,BSC,5859290317
2022-07-25,BSC,5810717837
2022-07-26,BSC,5607553036
2022-07-27,BSC,5629150161
2022-07-28,BSC,5869163141
2022-07-29,BSC,6001530991
2022-07-30,BSC,6136587447
2022-07-31,BSC,6082172938
2022-08-01,BSC,6039531312
2022-08-02,BSC,5986559894
2022-08-03,BSC,5913104482
2022-08-04,BSC,6128775115
2022-08-05,BSC,6157866763
2022-08-06,BSC,6241772053
2022-08-07,BSC,6178566924
2022-08-08,BSC,6314938261
2022-08-09,BSC,6356226640
2022-08-10,BSC,6246030840
2022-08-11,BSC,6422624105
2022-08-12,BSC,6324038865
2022-08-13,BSC,6344577800
2022-08-14,BSC,6348991363
2022-08-15,BSC,6256135539
2022-08-16,BSC,6223856103
2022-08-17,BSC,6198974669
2022-08-18,BSC,6021289843
2022-08-19,BSC,5907411284
2022-08-20,BSC,5756890527
2022-08-21,BSC,5755118959
2022-08-22,BSC,5921172802
2022-08-23,BSC,5924770486
2022-08-24,BSC,5930325766
2022-08-25,BSC,5953924588
2022-08-26,BSC,5969589776
2022-08-27,BSC,5761736768
2022-08-28,BSC,5723746006
2022-08-29,BSC,5642794300
2022-08-30,BSC,5805167742
2022-08-31,BSC,5789179044
2022-09-01,BSC,5728470955
2022-09-02,BSC,5752354406
2022-09-03,BSC,5738883526
2022-09-04,BSC,5740022200
2022-09-05,BSC,5735876396
2022-09-06,BSC,5890509828
2022-09-07,BSC,5623736638
2022-09-08,BSC,5760823600
2022-09-09,BSC,5787919453
2022-09-10,BSC,5905401105
2022-09-11,BSC,5961253654
2022-09-12,BSC,5874930283
2022-09-13,BSC,5907957202
2022-09-14,BSC,5663549239
2022-09-15,BSC,5555248131
2022-09-16,BSC,5567260321
2022-09-17,BSC,5672828397
2022-09-18,BSC,5687767581
2022-09-19,BSC,5574158894
2022-09-20,BSC,5664287205
2022-09-21,BSC,5658081380
2022-09-22,BSC,5647300087
2022-09-23,BSC,5764975457
2022-09-24,BSC,5770286262
2022-09-25,BSC,5748688437
2022-09-26,BSC,5748721294
2022-09-27,BSC,5797338759
2022-09-28,BSC,5761432487
2022-09-29,BSC,5828631201
2022-09-30,BSC,5826766622
2022-10-01,BSC,5801263594
2022-10-02,BSC,5783566661
2022-10-03,BSC,5805149178
2022-10-04,BSC,5838860104
2022-10-05,BSC,5928123526
2022-10-06,BSC,5910966318
2022-10-07,BSC,5914210699
2022-10-08,BSC,5889982620
2022-10-09,BSC,5843419520
2022-10-10,BSC,5852951379
2022-10-11,BSC,5799652272
2022-10-12,BSC,5791653289
2022-10-13,BSC,5770779340
2022-10-14,BSC,5777695465
2022-10-15,BSC,5751640108
2022-10-16,BSC,5746586369
2022-10-17,BSC,5775604821
2022-10-18,BSC,5777211457
2022-10-19,BSC,5763474963
2022-10-20,BSC,5769287295
2022-10-21,BSC,5706763709
2022-10-22,BSC,5722252577
2022-10-23,BSC,5733014897
2022-10-24,BSC,5786544544
2022-10-25,BSC,5766828030
2022-10-26,BSC,5955500143
2022-10-27,BSC,6020900561
2022-10-28,BSC,5972920053
2022-10-29,BSC,6042655562
2022-10-30,BSC,6189831592
2022-10-31,BSC,6302114891
2022-11-01,BSC,6126677855
2022-11-02,BSC,6280620315
2022-11-03,BSC,6131750248
2022-11-04,BSC,6313592789
2022-11-05,BSC,6463181084
2022-11-06,BSC,6506447217
2022-11-07,BSC,6329931173
2022-11-08,BSC,6482048687
2022-11-09,BSC,6259712962
2022-11-10,BSC,5558175654
2022-11-11,BSC,5609132127
2022-11-12,BSC,5470045762
2022-11-13,BSC,5482753173
2022-11-14,BSC,5626901510
2022-11-15,BSC,5351716470
2022-11-16,BSC,5496642850
2022-11-17,BSC,5204728587
2022-11-18,BSC,5467203578
2022-11-19,BSC,5458923778
2022-11-20,BSC,5122836661
2022-11-21,BSC,5089322379
2022-11-22,BSC,5313891505
2022-11-23,BSC,5418263221
2022-11-24,BSC,5455677761
2022-11-25,BSC,5543990113
2022-11-26,BSC,5381904623
2022-11-27,BSC,5896733199
2022-11-28,BSC,5803710377
2022-11-29,BSC,5537938262
2022-11-30,BSC,5532267224
2022-12-01,BSC,5610692566
2022-12-02,BSC,5637726439
2022-12-03,BSC,5078428196
2022-12-04,BSC,5447129984
2022-12-05,BSC,5529561968
2022-12-06,BSC,5333847332
2022-12-07,BSC,5616259751
2022-12-08,BSC,6003481432
2022-12-09,BSC,5550268795
2022-12-10,BSC,5542835842
2022-12-11,BSC,5744252104
2022-12-12,BSC,5518046415
2022-12-13,BSC,5408548977
2022-12-14,BSC,5040024930
2022-12-15,BSC,5004224985
2022-12-16,BSC,5018066802
2022-12-17,BSC,4697288104
2022-12-18,BSC,4722834976
2022-12-19,BSC,4787913409
2022-12-20,BSC,4723217077
2022-12-21,BSC,4802689728
2022-12-22,BSC,4773393698
2022-12-23,BSC,4723825199
2022-12-24,BSC,4708261425
2022-12-25,BSC,4695858688
2022-12-26,BSC,4664748101
2022-12-27,BSC,4663447210
2022-12-28,BSC,4693502496
2022-12-29,BSC,4668091897
2022-12-30,BSC,4676092748
2022-12-31,BSC,4656728352
2023-01-01,BSC,4653905143
2023-01-02,BSC,4635144544
2023-01-03,BSC,4655603171
2023-01-04,BSC,4630162815
2023-01-05,BSC,4764087527
2023-01-06,BSC,4746778980
2023-01-07,BSC,4825670923
2023-01-08,BSC,4803699830
2023-01-09,BSC,4957456256
2023-01-10,BSC,4931711096
2023-01-11,BSC,4950446936
2023-01-12,BSC,5092617140
2023-01-13,BSC,5118469691
2023-01-14,BSC,5324630657
2023-01-15,BSC,5269490922
2023-01-16,BSC,5295845973
2023-01-17,BSC,5253328560
2023-01-18,BSC,5267842324
2023-01-19,BSC,5152701624
2023-01-20,BSC,5224323356
2023-01-21,BSC,5382827210
2023-01-22,BSC,5379446097
2023-01-23,BSC,5417441151
2023-01-24,BSC,5434968842
2023-01-25,BSC,5377092951
2023-01-26,BSC,5448494144
2023-01-27,BSC,5392937131
2023-01-28,BSC,5460160036
2023-01-29,BSC,5450022573
2023-01-30,BSC,5561193616
2023-01-31,BSC,5371921771
2023-02-01,BSC,5452645677
2023-02-02,BSC,5567407444
2023-02-03,BSC,5577322915
2023-02-04,BSC,5635825580
2023-02-05,BSC,5616280311
2023-02-06,BSC,5602971212
2023-02-07,BSC,5558269670
2023-02-08,BSC,5667036413
2023-02-09,BSC,5602801982
2023-02-10,BSC,5337078669
2023-02-11,BSC,5329477055
2023-02-12,BSC,5377313255
2023-02-13,BSC,5400981558
2023-02-14,BSC,5051889323
2023-02-15,BSC,5100453940
2023-02-16,BSC,5351443187
2023-02-17,BSC,5244009804
2023-02-18,BSC,5366077217
2023-02-19,BSC,5392444947
2023-02-20,BSC,5329283297
2023-02-21,BSC,5338315284
2023-02-22,BSC,5263930546
2023-02-23,BSC,5263558996
2023-02-24,BSC,5226093000
2023-02-25,BSC,5143286645
2023-02-26,BSC,5149372065
2023-02-27,BSC,5241797820
2023-02-28,BSC,5204825698
2023-03-01,BSC,5206352497
2023-03-02,BSC,5234310344
2023-03-03,BSC,5184912732
2023-03-04,BSC,5075464067
2023-03-05,BSC,5064173056
2023-03-06,BSC,5077730521
2023-03-07,BSC,5067535342
2023-03-08,BSC,5098261038
2023-03-09,BSC,5033324598
2023-03-10,BSC,4847209740
2023-03-11,BSC,4817535103
2023-03-12,BSC,4569296201
2023-03-13,BSC,4749757951
2023-03-14,BSC,4944531723
2023-03-15,BSC,4996994741
2023-03-16,BSC,4951945144
2023-03-17,BSC,4621125186
2023-03-18,BSC,4739049669
2023-03-19,BSC,4668961526
2023-03-20,BSC,4643245069
2023-03-21,BSC,4604983489
2023-03-22,BSC,4698063849
2023-03-23,BSC,4783684071
2023-03-24,BSC,4865102964
2023-03-25,BSC,4818434539
2023-03-26,BSC,4829468646
2023-03-27,BSC,4872651117
2023-03-28,BSC,4720475779
